Mức độ đánh giá về CSVC,,,,,Môi trường học tập ở trường (Thư viện),,,,
CSVC chung,Thiết bị phòng TH,Phòng LT,Tình trạng kẹt xe,Nhà ăn,Mức độ SV vào TV,Không gian,Tài liệu,Máy tính,Thiết bị khác
1,1,1,0,-1,0,1,1,1,1
1,0,1,-1,0,1,1,1,0,0
1,0,1,-1,1,1,0,1,1,1
1,-1,0,-1,0,0,0,0,0,1
1,1,0,-1,1,0,0,1,1,1
1,-1,0,2,1,1,0,0,1,1
1,1,1,2,0,1,1,1,1,1
1,-1,0,0,-1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
1,1,1,-1,0,1,1,0,1,1
1,1,1,-1,-1,-1,0,1,1,-1
1,1,1,-1,0,0,1,1,1,1
0,1,-1,-1,0,0,1,1,0,0
1,0,0,-1,0,0,1,1,1,1
1,1,1,0,0,1,1,1,1,1
1,1,1,-1,-1,0,1,0,1,1
1,1,0,-1,0,0,1,1,1,0
0,0,1,-1,-1,0,1,0,0,1
0,0,1,-1,0,0,1,1,0,1
1,1,1,2,0,1,1,0,1,0
0,-1,-1,-1,0,0,1,1,0,0
0,1,0,-1,0,1,1,0,0,0
1,0,-1,2,-1,-1,1,0,-1,1
0,0,0,-1,-1,0,0,0,1,0
1,-1,0,-1,-1,0,1,0,1,1
0,1,1,-1,0,1,1,1,1,0
1,1,0,-1,0,0,1,1,1,1
0,1,1,-1,0,1,1,1,1,1
1,1,0,0,0,1,1,1,0,0
0,1,1,-1,0,1,0,0,1,1
1,1,1,2,1,0,1,1,0,0
1,1,1,-1,1,0,1,1,0,-1
0,0,1,-1,0,1,1,0,1,1
1,1,1,2,1,1,0,0,-1,-1
1,1,1,-1,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0
0,0,-1,-1,0,0,0,0,-1,-1
1,1,1,0,0,1,1,0,1,1
0,0,1,-1,0,0,0,0,-1,1
1,0,0,0,0,-1,0,0,0,0
-1,0,0,-1,0,1,-1,0,0,-1
1,-1,1,-1,-1,1,1,0,1,0
0,0,-1,0,0,-1,0,0,1,1
1,1,1,0,2,0,1,1,1,1
1,1,1,-1,0,1,0,1,1,1
0,0,0,-1,0,0,0,0,0,0
1,1,1,-1,0,1,1,0,0,1
0,0,1,-1,-1,1,1,1,1,0
1,1,0,-1,-1,1,1,1,1,1
